method,calibration_budget_videos,direction,scorer,seed_count,threshold_false_positive_rate,absolute_fpr_error,threshold_recall,false_alarm_events_per_hour,micro_auroc,auprc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,q95_transfer_ratio,q99_transfer_ratio
CAL_median_mad,1,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.7755876177068616,0.6883928058801944
CAL_median_mad,2,avenue_to_ped2,gaussian,1,0.0,0.01,0.00849514563106796,0.0,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,0.8518548279791368,0.629335990053333
CAL_median_mad,2,avenue_to_ped2,knn,1,0.0027624309392265192,0.007237569060773481,0.07220873786407767,17.91044781297797,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,0.9666433976137212,0.9038016966120493
CAL_median_mad,2,avenue_to_ped2,prototype,3,0.0027624309392265192,0.00723756906077348,0.011529126213592233,17.91044781297797,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,0.9824414199645503,0.8921333949298806
CAL_median_mad,2,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.6649882073642513,0.5705313683670604
CAL_median_mad,2,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.7779542994358344,0.7018723886115541
CAL_median_mad,2,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.7553667202745155,0.6699343507797435
CAL_median_mad,4,avenue_to_ped2,gaussian,1,0.0,0.01,0.0,0.0,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,0.5985559335400062,0.4443331539171494
CAL_median_mad,4,avenue_to_ped2,knn,1,0.0,0.01,0.01820388349514563,0.0,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,0.7934842383823715,0.7541308451530204
CAL_median_mad,4,avenue_to_ped2,prototype,3,0.0,0.01,0.0026294498381877023,0.0,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,0.8760928335635197,0.7899421507617265
CAL_median_mad,4,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.6583055510850094,0.5666835828788315
CAL_median_mad,4,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.7818874147185212,0.7083220203704583
CAL_median_mad,4,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.7599689317484781,0.6771054444179542
CAL_quantile_q99,1,avenue_to_ped2,gaussian,1,0.24861878453038674,0.23861878453038673,0.5588592233009708,662.686569080185,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,15.644571309423782,10.572823574366835
CAL_quantile_q99,1,avenue_to_ped2,knn,1,0.013812154696132596,0.003812154696132596,0.15109223300970873,71.64179125191188,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,7.891013039150989,6.500979011854768
CAL_quantile_q99,1,avenue_to_ped2,prototype,3,0.0,0.01,0.0050566343042071195,0.0,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,8.085816484595282,6.681944074390773
CAL_quantile_q99,1,ped2_to_avenue,gaussian,1,0.020151567344126764,0.010151567344126764,0.026131465517241378,475.7243530973588,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,39.51491482739186,32.42249971771891
CAL_quantile_q99,1,ped2_to_avenue,knn,1,0.017309679641749915,0.007309679641749915,0.010775862068965518,305.40328840818097,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,14.260344413819226,12.657895611825131
CAL_quantile_q99,1,ped2_to_avenue,prototype,3,0.023079572855666555,0.013079572855666551,0.009788074712643677,395.4581042208497,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,15.307412712986482,13.22088299070713
CAL_quantile_q99,2,avenue_to_ped2,gaussian,1,0.20994475138121546,0.19994475138121545,0.5388349514563107,608.955225641251,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,15.644571309423782,10.572823574366835
CAL_quantile_q99,2,avenue_to_ped2,knn,1,0.049723756906077346,0.039723756906077344,0.25485436893203883,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,7.891013039150989,6.500979011854768
CAL_quantile_q99,2,avenue_to_ped2,prototype,3,0.0036832412523020255,0.006316758747697974,0.01395631067961165,23.880597083970628,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,8.085816484595282,6.681944074390773
CAL_quantile_q99,2,ped2_to_avenue,gaussian,1,0.0047364795039614195,0.005263520496038581,0.013469827586206896,187.9404851742652,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,39.51491482739186,32.42249971771891
CAL_quantile_q99,2,ped2_to_avenue,knn,1,0.0004305890458146745,0.009569410954185325,0.0018857758620689656,17.619420485087364,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,14.260344413819226,12.657895611825131
CAL_quantile_q99,2,ped2_to_avenue,prototype,3,0.0006602365369158342,0.009339763463084166,0.002334770114942529,19.577133872319294,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,15.307412712986482,13.22088299070713
CAL_quantile_q99,4,avenue_to_ped2,gaussian,1,0.0027624309392265192,0.007237569060773481,0.16201456310679613,17.91044781297797,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,15.644571309423782,10.572823574366835
CAL_quantile_q99,4,avenue_to_ped2,knn,1,0.0027624309392265192,0.007237569060773481,0.05157766990291262,17.91044781297797,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,7.891013039150989,6.500979011854768
CAL_quantile_q99,4,avenue_to_ped2,prototype,3,0.0018416206261510127,0.008158379373848987,0.008697411003236245,11.940298541985314,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,8.085816484595282,6.681944074390773
CAL_quantile_q99,4,ped2_to_avenue,gaussian,1,0.0,0.01,0.003771551724137931,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,39.51491482739186,32.42249971771891
CAL_quantile_q99,4,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,14.260344413819226,12.657895611825131
CAL_quantile_q99,4,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,15.307412712986482,13.22088299070713
